,AL.oldAL1,AL.oldAL2,CR.oldCR1,CR.oldCR2
Tiprl,185,215,152,332
Gm38190,54,62,53,98
Gpr161,105,110,59,169
Dcaf6,1979,2121,1959,3960
Gm37864,15,33,15,30
Mpc2,180,247,278,417
Adcy10,14,4,14,40
Mpzl1,537,819,545,1386
Rcsd1,20,34,0,11
Creg1,41,62,77,122
Gm16565,4,4,1,1
Cd247,95,108,13,12
Pou2f1,842,912,893,1845
Gm26665,3,1,0,5
Gpa33,4,6,2,9
Ildr2,2,1,1,1
Tada1,78,97,63,144
Pogk,117,119,142,252
Fam78b,93,78,71,151
Uck2,932,794,774,1986
Gm37982,32,34,35,72
Gm57182,33,68,64,57
Tmco1,58,88,71,112
Aldh9a1,123,116,151,268
Mgst3,27,30,24,45
Rxrg,1,1,0,0
Pbx1,6338,7427,6320,11676
Nuf2,1,1,2,0
Rgs5,8,24,0,8
Rgs4,244,289,216,314
Ccdc190,1,2,2,4
Hsd17b7,33,26,35,84
3110045C21Rik,2,0,1,3
Ddr2,1,1,1,1
Uap1,157,178,169,356
Uhmk1,162,182,142,329
Gm6345,2,5,5,1
Sh2d1b1,0,0,0,0
Gm7694,14,9,7,20
Nos1ap,547,620,523,988
Olfml2b,66,53,50,186
Atf6,1668,1676,1853,4090
Gm9929,115,75,164,235
Dusp12,92,111,131,161
Gm26620,17,6,6,28
Fcrla,8,5,0,0
Fcgr2b,11,8,0,0
Fcgr4,1,1,0,0
Fcgr3,2,0,0,4
Cfap126,25,26,29,32
Sdhc,124,185,166,227
Mpz,4,11,10,15
